1;2024-12-18;16:45;1;1;1110000000111100000000001111000001110000001111111111111
2;2024-12-19;19:00;2;1;0000000000000000000000000000000000000000000000000000000
3;2024-12-20;18:30;3;1;0000000000000000000000000000000000000000000000000000000
6;2023-12-12;12:30;1;1;0000000000000000000000000000000000000000000000000000000
7;2024-12-19;21:40;1;1;0000000000000000000000000000000000000000000000000000000
8;2025-01-20;19:30;2;1;1000011110100100000000000001011000001001100000110000000
9;2025-01-21;19:30;2;1;1000011110000100000000000001011000001001100000110000000
10;2025-01-22;19:30;2;1;1000011110000100000000000001011000001001100000110000000
11;2025-01-23;19:30;2;1;1000011110000100000000000001011000001001100000110000000
12;2025-03-04;16:00;3;1;0001100011100000000000000010001100000000000001110000000
